constituency,party_before,name,party_member,notes,screen_name,user_id
Eddisbury,Liberal Democrats[h],Edward Timpson,Conservative,"Defeated incumbent, Antoinette Sandbach",edwardtimpson,
Epping Forest,Conservative,Eleanor Laing,Conservative,Seat held,eleanor4epping,
Doncaster North,Labour,Ed Miliband,Labour,Seat held,Ed_Miliband,61781260
South West Norfolk,Conservative,Elizabeth Truss,Conservative,Seat held,trussliz,
Carshalton and Wallington,Liberal Democrats,Elliot Colburn,Conservative,"Defeated incumbent, Tom Brake",ElliotColburn,
Dudley South,Conservative,Mike Wood,Conservative,Seat held,mikejwood,14728535
Brecon and Radnorshire,Liberal Democrats[i],Fay Jones,Conservative,"Defeated incumbent, Jane Dodds",none,none
Kensington,Labour,Felicity Buchan,Conservative,"Defeated incumbent, Emma Dent Coad",FelicityBuchan,
"Dumfriesshire, Clydesdale and Tweeddale",Conservative,David Mundell,Conservative,Seat held,DavidMundellDCT,19589280
Dundee East,Scottish National,Stewart Hosie,Scottish National,Seat held,StewartHosieSNP,219298196
Dundee West,Scottish National,Chris Law,Scottish National,Seat held,ChrisLawSNP,2205165174
Enfield North,Change UK[g],Feryal Clark,Labour,"Previous incumbent, Joan Ryan, did not stand",FeryalClark,
Congleton,Conservative,Fiona Bruce,Conservative,Seat held,UK_FoRBEnvoy,
Ealing Central and Acton,Labour,Rupa Huq,Labour,Seat held,RupaHuq,706747004
Putney,Independent[h],Fleur Anderson,Labour,"Previous incumbent, Justine Greening, did not stand",PutneyFleur,
Ealing Southall,Labour,Virendra Sharma,Labour,Seat held,VirendraSharma,23452598
Easington,Labour,Grahame Morris,Labour,Seat held,grahamemorris,58821256
Meon Valley,Conservative,Flick Drummond,Conservative,"Previous incumbent, George Hollingbery, did not stand",none,none
Vauxhall,Labour,Florence Eshalomi,Labour Co-operative,"Previous incumbent, Kate Hoey, did not stand",FloEshalomi,
South West Hertfordshire,Independent[h],Gagan Mohindra,Conservative,"Defeated incumbent, David Gauke",gaganmohindra,
East Ham,Labour,Stephen Timms,Labour,Seat held,stephenctimms,102107018
East Hampshire,Conservative,Damian Hinds,Conservative,Seat held,DamianHinds,14561015
"East Kilbride, Strathaven and Lesmahagow",Scottish National,Lisa Cameron,Scottish National,Seat held,DrLisaCameronMP,2801867041
Orpington,Conservative,Gareth Bacon,Conservative,"Previous incumbent, Jo Johnson, did not stand",garethbaconmp,
